TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
com.example.task_evaluated.task_3785,BRANCH;EXCEPTION,0.8,6,4
com.example.task_evaluated.task_14674,BRANCH;EXCEPTION,1.0,9,9
com.example.task_evaluated.task_25599,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_18417,BRANCH;EXCEPTION,1.0,6,6
com.example.task_evaluated.task_14588,BRANCH;EXCEPTION,0.8571428571428572,8,6
com.example.task_evaluated.task_2665,BRANCH;EXCEPTION,1.0,7,7
com.example.task_evaluated.task_14769,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_2599,BRANCH;EXCEPTION,0.9285714285714286,24,21
com.example.task_evaluated.task_6796,BRANCH;EXCEPTION,1.0,7,7
com.example.task_evaluated.task_6267,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_12775,BRANCH;EXCEPTION,0.8333333333333333,11,8
com.example.task_evaluated.task_10210,BRANCH;EXCEPTION,1.0,11,11
com.example.task_evaluated.task_8524,BRANCH;EXCEPTION,0.7222222222222222,33,18
com.example.task_evaluated.task_7569,BRANCH;EXCEPTION,1.0,7,7
com.example.task_evaluated.task_10049,BRANCH;EXCEPTION,1.0,9,9
com.example.task_evaluated.task_18409,BRANCH;EXCEPTION,1.0,8,8
com.example.task_evaluated.task_11764,BRANCH;EXCEPTION,1.0,66,66
com.example.task_evaluated.task_5356,BRANCH;EXCEPTION,0.5434782608695652,23,2
com.example.task_evaluated.task_14022,BRANCH;EXCEPTION,0.8333333333333333,18,13
com.example.task_evaluated.task_6634,BRANCH;EXCEPTION,1.0,3,3
com.example.task_evaluated.task_1361,BRANCH;EXCEPTION,1.0,10,9
com.example.task_evaluated.task_5372,BRANCH;EXCEPTION,1.0,2,2
com.example.task_evaluated.DirectoryDeleter,BRANCH;EXCEPTION,0.7,5,2
com.example.task_evaluated.task_6428,BRANCH;EXCEPTION,1.0,9,9
com.example.task_evaluated.task_18164,BRANCH;EXCEPTION,1.0,13,13
com.example.task_evaluated.task_1281,BRANCH;EXCEPTION,1.0,8,8
com.example.task_evaluated.task_26025,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_6887,BRANCH;EXCEPTION,1.0,9,9
com.example.task_evaluated.task_4427,BRANCH;EXCEPTION,0.5333333333333333,16,2
com.example.task_evaluated.task_25137,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_29816,BRANCH;EXCEPTION,1.0,8,8
com.example.task_evaluated.task_16639,BRANCH;EXCEPTION,1.0,11,11
com.example.task_evaluated.task_1770,BRANCH;EXCEPTION,1.0,6,6
com.example.task_evaluated.task_14415,BRANCH;EXCEPTION,0.9,6,5
com.example.task_evaluated.task_7998,BRANCH;EXCEPTION,1.0,7,7
com.example.task_evaluated.task_14967,BRANCH;EXCEPTION,1.0,6,6
com.example.task_evaluated.task_657,BRANCH;EXCEPTION,0.6428571428571428,8,3
com.example.task_evaluated.task_12281,BRANCH;EXCEPTION,0.7941176470588236,18,11
com.example.task_evaluated.task_22997,BRANCH;EXCEPTION,0.9666666666666667,17,16
com.example.task_evaluated.task_14004,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_15041,BRANCH;EXCEPTION,1.0,11,10
com.example.task_evaluated.task_9869,BRANCH;EXCEPTION,1.0,4,4
com.example.task_evaluated.task_9931,BRANCH;EXCEPTION,1.0,11,11
com.example.task_evaluated.task_36238,BRANCH;EXCEPTION,0.7777777777777778,12,8
com.example.task_evaluated.task_10587,BRANCH;EXCEPTION,1.0,12,12
com.example.task_evaluated.task_2498,BRANCH;EXCEPTION,0.8695652173913043,25,19
com.example.task_evaluated.task_14594,BRANCH;EXCEPTION,0.9444444444444444,17,16
com.example.task_evaluated.task_24578,BRANCH;EXCEPTION,0.9,5,4
com.example.task_evaluated.task_14201,BRANCH;EXCEPTION,1.0,14,14
com.example.task_evaluated.task_262,BRANCH;EXCEPTION,0.5909090909090909,13,4
com.example.task_evaluated.task_2291,BRANCH;EXCEPTION,1.0,9,9
com.example.task_evaluated.task_35814,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_1493,BRANCH;EXCEPTION,1.0,14,14
com.example.task_evaluated.task_4109,BRANCH;EXCEPTION,1.0,5,5
com.example.task_evaluated.task_6693,BRANCH;EXCEPTION,1.0,7,7
com.example.task_evaluated.task_15902,BRANCH;EXCEPTION,1.0,2,2
com.example.task_evaluated.task_4270,BRANCH;EXCEPTION,1.0,7,7
